Station day	m   	c
JA2064	5	1.3533	116.530
JA2064	6	1.3055	116.960
JA2064	7	1.2699	108.550
JA2064	8	1.2322	104.950
JA2064	9	1.1907	101.000
JA2064	10	1.1513	97.2530
JA2064	11	1.1219	94.4710
JA2064	12	1.0973	92.1390
JA2155	5	1.6389	57.6050
JA2155	6	1.6152	56.7030
JA2155	7	1.5696	54.9750
JA2155	8	1.5711	55.0650
JA2155	9	1.5711	55.0650
JA2155	10	1.5509	54.3110
JA2155	11	1.5422	53.9930
JA2155	12	1.5348	53.7320
JA2242	5	1.2316	52.1700
JA2242	6	1.2187	51.5120
JA2242	7	1.1918	50.0970
JA2242	8	1.1632	48.5960
JA2242	9	1.1252	46.5900
JA2242	10	1.0855	44.4750
JA2242	11	1.0473	42.4530
JA2242	12	1.0220	41.1370
JA3014	5	1.0448	34.2090
JA3014	6	1.0525	34.5790
JA3014	7	1.0469	34.3430
JA3014	8	1.0401	34.0840
JA3014	9	0.9964	32.1420
JA3014	10	1.0173	33.0630
JA3014	11	1.0205	33.1980
JA3014	12	1.0252	33.4420
JA3079	5	0.7367	29.4330
JA3079	6	0.7276	28.9160
JA3079	7	0.7326	29.1800
JA3079	8	0.7248	28.7540
JA3079	9	0.7320	29.1850
JA3079	10	0.7265	28.8910
JA3079	11	0.7082	27.9030
JA3079	12	0.6672	25.6640
JA3155	5	1.0153	21.0650
JA3155	6	1.0223	21.3010
JA3155	7	1.0160	21.1280
JA3155	8	1.0059	20.8010
JA3155	9	0.9775	19.9030
JA3155	10	0.9832	20.1660
JA3155	11	0.9789	20.0530
JA3155	12	0.9731	19.9130
JA3192	5	0.8415	37.0055
JA3192	6	0.8245	35.9141
JA3192	7	0.8744	38.9726
JA3192	8	0.8559	37.9139
JA3192	9	0.8496	37.5220
JA3192	10	0.8475	37.3909
JA3192	11	0.8273	36.0900
JA3192	12	0.8163	35.3757
JA3053	5	0.9256	50.7830
JA3053	6	0.9044	49.3480
JA3053	7	0.9005	49.0680
JA3053	8	0.8982	48.8880
JA3053	9	0.8828	47.7770
JA3053	10	0.8646	46.4680
JA3053	11	0.8597	46.0860
JA3053	12	0.8517	45.4920
JA3166	5	1.1449	28.0470
JA3166	6	1.1414	27.9020
JA3166	7	1.1285	27.4150
JA3166	8	1.1147	26.9290
JA3166	9	1.0874	25.9210
JA3166	10	1.0747	25.4570
JA3166	11	1.0657	25.1440
JA3166	12	1.0420	24.2280
JA3242	5	1.0934	64.8890
JA3242	6	1.0867	64.4120
JA3242	7	1.0819	64.0720
JA3242	8	1.0832	64.1880
JA3242	9	1.0516	61.8140
JA3242	10	1.0524	61.9050
JA3242	11	1.0520	61.8360
JA3242	12	1.0685	63.0190
