Lat(D)	Lon(D)	H(m)	BS(dB)
26.749	93.609	68.85	36.37
26.746	93.610	69.11	36.36
26.744	93.611	69.36	40.11
26.741	93.613	70.16	41.12
26.739	93.614	70.26	44.43
26.736	93.615	69.75	48.21
26.734	93.616	69.68	51.47
26.732	93.617	69.70	43.84
26.729	93.618	69.61	42.11
26.727	93.620	69.19	38.76
26.724	93.621	71.06	38.22
26.722	93.622	71.03	44.95
26.719	93.623	70.71	33.18
26.717	93.624	70.72	30.11
26.715	93.625	71.24	29.59
26.712	93.627	71.20	29.47
26.710	93.628	70.60	28.82
26.707	93.629	71.04	28.40
26.705	93.630	71.46	29.76
26.702	93.631	71.43	35.97
